주차장 이름,주소,주차 타입,주차 가능 차량 수,요금,요금 시간 기준,추가 요금,추가 요금 시간 기준,일일 최대 요금,현재 주차 차량 수,현재 주차 갱신 시간,평일 운영 시간,주말 운영 시간,공휴일 운영 시간,전화번호,연계 상태,위도,경도
방학2동주민센터,도봉구 방학동 621-2 ,BP,7,0,0,0,0,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2091-5946,미연계,37.668167,127.035024
상계9동 주민센터,노원구 상계동 682-0 ,BP,6,,,,,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2116-2918,미연계,37.664543,127.063838
상계주공11단지종합상가 주차장,노원구 상계동 651-0 ,BS,30,0,0,0,0,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.66586,127.057086
상계주공12단지종합상가,노원구 상계동 649-0,BS,36,0,0,0,0,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.665937,127.057911
주공11단지상가뒤(구),노원구 상계동 652-0 ,NS,13,250,5,250,5,,0,,0900 ~ 1900,0900 ~ 1900,0000 ~ 0000,,미연계,37.6652593,127.0569759
주공12단지상가뒤(구),노원구 상계동 647-1,NS,22,250,5,0,0,33000,0,,0900 ~ 1900,0900 ~ 1800,0900 ~ 1800,,미연계,37.66730976,127.05777467
거성학마을아파트,도봉구 방학동 701-15 ,BS,314,2000,30,1000,15,0,296,2024-10-02 15:57:32,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-3493-4115,20분,37.666646,127.039654
도봉구 방학동 707-6 ,도봉구 방학동 707-6,BS,180,1000,30,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-16881054,미연계,37.665375,127.043562
이안테라디움방학역오피스텔,도봉구 방학동 707-0 ,BS,170,1500,30,500,10,20000,170,2024-10-02 15:57:36,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.665784,127.043741
홈플러스 방학점,도봉구 방학동 707-7 ,BS,611,1000,10,1000,10,30000,177,2024-10-02 15:58:03,1000 ~ 2400,1000 ~ 2400,1000 ~ 2400,02-912-2080,20분,37.66482,127.043719
도깨비시장 공영주차장(구),도봉구 방학동 632-1,NW,81,100,5,100,5,0,0,,0900 ~ 2200,0900 ~ 2200,0900 ~ 2200,02-901-5100,미연계,37.664575,127.033906
간송옛집  공영주차장(구),도봉구 방학동 58-10,NW,15,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-2091-4215,미연계,37.665246,127.027521
불암산 공영주차장(구),노원구 중계동 26-0,NW,36,150,5,,,9900,0,,0900 ~ 1800,0000 ~ 0000,0000 ~ 0000,02-2289-6720,미연계,37.661895,127.079331
덕릉로-4,덕릉로 680 ~ 덕릉로 718,T,50,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6591577,127.0754158
덕릉로-5,덕릉로 725 ~ 덕릉로83길 9-7,T,100,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.66241644,127.075718501
상계5동 주민센터,노원구 상계동 167-2 ,BP,2,,,,,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2116-2835,미연계,37.662949,127.069363
상계역 서측 주택가 공영주차장(구),노원구 상계동 169-409,NW,19,150,5,150,5,8100,0,,0900 ~ 1900,0000 ~ 0000,0000 ~ 0000,,미연계,37.660036,127.071057
노원로-2,동일로 156 ~ 동일로 1456,T,17,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6605901,127.0625196
바로선병원,도봉구 창동 749-10,BS,48,1000,60,500,30,,0,,0800 ~ 2200,0900 ~ 1500,0900 ~ 1500,02-1666-5853,미연계,37.660368,127.042164
쌍문2동 5공영주차장(구),도봉구 쌍문동 715-2,NW,77,0,0,100,5,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2091-4215,미연계,37.660061,127.040884
정병원 주차장,도봉구 쌍문동 707-7 ,BS,29,1000,30,500,10,,0,,0700 ~ 1900,0900 ~ 1500,0000 ~ 0000,010-8872-4657,미연계,37.661545,127.041734
신한은행 방학동지점,도봉구 방학동 691-7 ,BS,24,0,15,2000,20,60000,26,2024-10-02 15:57:27,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.663147,127.036928
학마을 도서관,,DI,1,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.66222,127.027916
교통광장공영주차장(구),강북구 우이동 265-0,NW,56,200,5,200,5,10000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3027,미연계,37.663387,127.012621
도선사주차장(민영),강북구 우이동 18-5,NP,50,1500,30,,,10000,0,,0700 ~ 1900,0000 ~ 0000,0000 ~ 0000,,미연계,37.662485,127.011313
우이제일교회,강북구 우이동 137-0 ,BS,5,,,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-904-8112,미연계,37.659856,127.010262
삼양로-1,삼양로 665 ~ 삼양로 637,T,50,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.66165466,127.01316159
중계4동 임시공영주차장(구),노원구 중계동 606-2,NW,39,150,5,150,5,8100,0,,1000 ~ 1900,1000 ~ 1800,0000 ~ 0000,,미연계,37.65859344,127.07355671
한터(민영),노원구 중계동 157-47,NP,14,3000,60,1000,30,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.65845059,127.07637141
한글비석로-2,덕릉로 662 앞 ~ 한글비석로 346,T,11,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6573776,127.0768168
상계2동 공영주차장(구),노원구 상계동 373-13,NW,108,150,5,150,5,11000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-931-2758,미연계,37.656735,127.06754
금호스포츠센터(민영),노원구 상계동 358-3,NP,27,1000,30,1000,10,5000,0,,0600 ~ 2400,0600 ~ 2400,0600 ~ 2400,,미연계,37.657621,127.063007
노원빌딩부설주차장,노원구 상계동 336-0 ,BS,10,2000,30,2000,30,0,0,,0900 ~ 2200,0900 ~ 2200,0900 ~ 2200,,미연계,37.65660558,127.06328789
대감프라자,노원구 상계동 366-4,BS,59,1700,10,1700,10,0,0,,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,,미연계,37.657312,127.06546
드림빌딩 주차장,노원구 상계동 349-16 ,BS,12,2000,60,3000,60,,0,,0900 ~ 2100,0900 ~ 2100,0900 ~ 2100,,미연계,37.657099,127.064799
롯데백화점 노원점(별관) 주차장,노원구 상계동 714-0 ,BS,492,1000,30,1000,10,0,193,2024-10-02 15:50:00,1030 ~ 2000,1030 ~ 2030,1030 ~ 2030,02-905-2007,20분,37.655348,127.061802
롯데백화점 노원점(본관) 주차장,노원구 상계동 713-0 ,BS,488,1000,30,1000,10,,322,2024-10-02 15:50:00,1030 ~ 2000,1030 ~ 2030,1030 ~ 2030,02-950-2007,20분,37.654954,127.06086
와우쇼핑몰 주차장,노원구 상계동 292-1 ,BS,182,3000,30,2000,10,,0,,0700 ~ 0000,0700 ~ 0000,0700 ~ 0000,,미연계,37.655355,127.063789
위성프라자 주차장,노원구 상계동 693-2 ,BS,89,1000,10,1000,10,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.656088,127.061057
주공7단지옆(구),노원구 상계동 693-5,NS,17,250,5,0,0,33000,0,,0900 ~ 1900,0900 ~ 1800,0900 ~ 1800,,미연계,37.65638366,127.06140101
청우빌딩 주차장,노원구 상계동 324-0 ,BS,15,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.65621,127.065815
한일빌딩 주차장,노원구 상계동 593-3 ,BS,20,2000,30,1500,30,0,0,,0800 ~ 2200,0800 ~ 2200,0800 ~ 2200,,미연계,37.65671017,127.06262919
화랑빌딩,노원구 상계동 617-0 ,BS,76,700,10,700,10,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.655714,127.062342
노해로-3,노해로 521 ~ 노해로 495,T,40,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6553715,127.0647143
구청사주변(구),노원구 상계동 739-4,NS,74,250,5,250,5,0,0,,0900 ~ 2000,0000 ~ 0000,0000 ~ 0000,,미연계,37.65494045,127.05662451
남성빌딩 주차장,노원구 상계동 712-0 ,BS,21,0,30,1000,10,,0,,0500 ~ 2200,0500 ~ 1500,0500 ~ 1500,,미연계,37.654748,127.060055
도봉운전면허시험장,노원구 상계동 580-9 ,BP,120,,,,,,0,,0900 ~ 1800,0000 ~ 0000,0000 ~ 0000,02-2092-0198,미연계,37.658006,127.058751
디와이홀딩스빌딩 주차장,노원구 상계동 711-12,BS,67,0,0,0,0,0,0,,0800 ~ 2200,0800 ~ 2200,0800 ~ 2200,,미연계,37.655308,127.059896
미도빌딩 주차장,노원구 상계동 693-0 ,BS,21,1000,10,1000,10,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.655987,127.060567
삼양빌딩 주차장,노원구 상계동 711-13 ,BS,25,2000,30,500,10,0,0,,0700 ~ 2200,0700 ~ 2200,0700 ~ 2200,,미연계,37.655037,127.060027
창동 문화체육센터,,DI,4,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.65836428,127.0511926
LG전자베스트샵 쌍문본점,도봉구 쌍문동 692-0 ,BS,29,1000,10,1000,10,50000,29,2024-10-02 15:57:31,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.654867,127.037972
삼성전자 주차장(민영),도봉구 쌍문동 659-1,NP,44,3000,30,2000,10,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,010-4127-4977,미연계,37.655352,127.038223
우이동 공영주차장(시),강북구 우이동 105-2,NW,82,,,,,80000,29,2024-10-02 15:57:33,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3044,20분,37.65671789,127.01163698
정안빌딩,도봉구 쌍문동 508-1 ,BS,55,1000,30,1000,30,15000,55,2024-10-02 15:57:32,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.657457,127.01391
수련원주차장(민영),강북구 우이동 260-6,NP,43,2000,60,1000,30,5000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.656644,127.000271
은평구 진관동 275-2(민영),은평구 진관동 275-2,NP,,,,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6557447,126.9466672
승진기업주차장(민영),은평구 진관동 294-5,NP,22,1000,30,500,15,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.65564457,126.94043621
유경백화점뒤(구),노원구 중계동 364-16,NS,36,250,5,0,0,33000,0,,0900 ~ 1900,0900 ~ 1800,0900 ~ 1800,,미연계,37.65027847,127.0780048
신한증권옆(구),노원구 중계동 366-12,NS,31,250,5,0,0,33000,0,,0900 ~ 1900,0900 ~ 1800,0900 ~ 1800,,미연계,37.65145115,127.07755808
주공5단지옆(구),노원구 중계동 359-16,NS,31,250,5,0,0,33000,0,,0900 ~ 1900,0900 ~ 1800,0900 ~ 1800,,미연계,37.65239996,127.07725342
청구건영아파트옆(구),노원구 중계동 360-4,NS,42,250,5,0,0,33000,0,,0900 ~ 1900,0900 ~ 1800,0900 ~ 1800,,미연계,37.65039896,127.07542707
덕릉로,덕릉로77길 5 ~ 덕릉로77길 5,T,6,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.653879090404644,127.07390048269823
KT노원타워,노원구 상계동 723-0 ,BS,153,1000,30,1000,30,15000,138,2024-10-02 15:58:37,0800 ~ 2400,0800 ~ 2400,0800 ~ 2400,,20분,37.65445795,127.06369619
고려빌딩 주차장,노원구 상계동 724-3 ,BS,30,2000,30,2000,30,0,0,,0800 ~ 2400,0800 ~ 2400,0800 ~ 2400,,미연계,37.654482,127.063086
길빌딩 주차장,노원구 상계동 724-1 ,BS,23,2000,30,2000,30,0,0,,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,,미연계,37.65432535,127.06216783
덕영빌딩 주차장,노원구 상계동 727-0,BS,22,3000,60,3000,60,0,0,,1000 ~ 2000,1000 ~ 2000,1000 ~ 2000,,미연계,37.654178,127.061695
원흥상가 주차장,노원구 상계동 725-2,BS,15,2000,30,2000,30,0,0,,0800 ~ 2000,0800 ~ 2000,0800 ~ 2000,,미연계,37.654088,127.062685
조광빌딩 주차장,노원구 상계동 727-1 ,BS,38,1500,30,1500,30,0,0,,0800 ~ 2100,0800 ~ 2100,0800 ~ 2100,,미연계,37.654097,127.061434
주공6단지상가주변(구),노원구 상계동 723-2,NS,40,250,5,0,0,33000,0,,0900 ~ 1900,0900 ~ 1800,0900 ~ 1800,,미연계,37.65405646,127.06333087
중원빌딩 주차장,노원구 상계동 728-1 ,BS,45,3000,30,3000,30,0,0,,0800 ~ 2000,0800 ~ 2000,0800 ~ 2000,,미연계,37.653195,127.061345
프린스빌딩 주차장,노원구 상계동 724-2 ,BS,26,2000,30,2000,30,0,0,,0900 ~ 1900,0900 ~ 1700,0900 ~ 1700,,미연계,37.654374,127.062757
교보생명상계사옥[노원역 2호점],노원구 상계동 712-1 ,BS,128,0,10,1000,10,20000,0,,0600 ~ 2400,0600 ~ 2400,0600 ~ 2400,,미연계,37.65445,127.059965
노원구청 주차장,노원구 상계동 701-1 ,BP,216,250,5,250,5,16500,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2116-3080,미연계,37.654119,127.056663
메가빌딩 주차장,노원구 상계동 709-2 ,BS,56,0,30,1000,10,0,0,,0700 ~ 2300,0700 ~ 2300,0700 ~ 2300,,미연계,37.654225,127.059019
은성빌딩 주차장,노원구 상계동 709-1 ,BS,11,0,30,500,10,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.654177,127.058782
주공3단지상가주변(구),노원구 상계동 735-0 ,NS,32,250,5,250,5,,0,,0900 ~ 1900,0900 ~ 1900,0000 ~ 0000,,미연계,37.6531352,127.0580635
청산빌딩 주차장,노원구 상계동 705-2 ,BS,32,1500,30,1500,30,,0,,0700 ~ 2100,0000 ~ 0000,0000 ~ 0000,,미연계,37.654068,127.058252
태웅빌딩 주차장,노원구 상계동 705-0 ,BS,22,0,30,1000,15,,0,,0700 ~ 2200,0700 ~ 1900,0000 ~ 0000,,미연계,37.653983,127.057798
한화생명빌딩 주차장,노원구 상계동 731-0 ,BS,68,500,10,500,10,0,0,,0700 ~ 2400,0700 ~ 1900,0000 ~ 0000,,미연계,37.653754,127.059704
노원세무서,도봉구 창동 15-0 ,BP,47,0,0,0,0,0,0,,1800 ~ 0700,0000 ~ 2400,0000 ~ 2400,02-3499-0247,미연계,37.653197,127.051257
노원세무서 앞 공영주차장(구),도봉구 창동 15-0,NS,28,250,5,0,0,0,0,,0800 ~ 1900,0800 ~ 1900,0800 ~ 1900,,미연계,37.65401238,127.05202441
백상빌딩 주차장,도봉구 창동 15-1,BS,138,1000,30,1000,30,0,0,,0800 ~ 2100,0800 ~ 2100,0800 ~ 2200,02-995-3661,미연계,37.653525,127.051868
씨드큐브창동,도봉구 창동 1-28 ,BS,961,2000,30,1000,10,30000,308,2024-10-02 15:54:09,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-6077-8780,20분,37.65439,127.049764
창동역 (구)구청별관주차장(구),도봉구 창동 5-1,NS,30,250,5,0,0,0,0,,1000 ~ 2000,1000 ~ 2000,1000 ~ 2000,,미연계,37.65312879,127.04966919
하나빌딩주차장,도봉구 창동 8-1,BS,21,1500,30,500,10,15000,0,,0800 ~ 2400,0800 ~ 2400,0800 ~ 2400,010-6654-4399,미연계,37.652476,127.049701
GS타임즈이마트창동점,도봉구 창동 135-26 ,BS,159,4000,40,1000,10,30000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-901-1052,미연계,37.65203,127.047393
동순그린빌딩 주차장,도봉구 창동 75-13,BS,9,1000,30,1000,30,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.651755,127.046635
월가타워 주차장,도봉구 창동 7-0 ,BS,41,500,10,500,10,15000,0,,0600 ~ 2400,0600 ~ 2400,0600 ~ 2400,,미연계,37.652242,127.049069
창동역(서) 공영주차장(시),도봉구 창동 330-0,NW,106,260,5,260,5,18700,102,2024-10-02 15:58:11,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,010-4927-3981,20분,37.65237042,127.04567683
도봉구민회관,,DI,2,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.65394147,127.0383853
쌍문2동 2공영주차장(구),도봉구 쌍문동 81-102,NW,18,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,029015100,미연계,37.653237,127.033561
둘리뮤지엄  공영주차장(구),도봉구 쌍문동 79-0,NW,25,100,5,,,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-901-5100,미연계,37.653714,127.027877
창암(민영),은평구 진관동 295-2,NP,33,1000,30,500,15,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.65399111,126.93898137
한글비석로-1,중계동 362 ~ 중계동 313,T,31,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6466172,127.0763959
롯데마트 중계점,노원구 중계동 361-0 ,BS,710,1500,30,1500,30,30000,0,,1000 ~ 2300,1000 ~ 2300,1000 ~ 2300,02-2092-2500,미연계,37.64671801,127.0709501
덕릉로-3,노원로22길 1 ~ 덕릉로 580,T,18,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6494383,127.0701885
상계백병원 주차장,노원구 상계동 761-1 ,BS,349,2000,31,500,10,30000,245,2024-10-02 15:58:48,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-950-4809,20분,37.648654,127.063009
창1동주민센터,도봉구 창동 347-5 ,BP,8,0,0,0,0,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2091-5678,미연계,37.648375,127.043826
초안산 창골주차장(구),도봉구 창동 677-0,NW,71,100,5,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,029015100,미연계,37.6489697,127.0402937
도봉로110길-1,도봉로110길 8 ~ 도봉로110길 92,T,57,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6463745,127.0383905
해등로3길,창동 산 126-1 ~ 창동 356,T,7,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.64676601285892,127.04120582530538
대명빌딩 주차장,도봉구 창동 659-3,BS,17,1500,30,500,10,0,0,,0900 ~ 1900,0900 ~ 1900,0900 ~ 1900,010-6260-9343,미연계,37.64906,127.035319
더블유 Tmap 주차장(민영),도봉구 쌍문동 96-24,NP,18,2000,30,20000,30,40000,18,2024-10-02 15:58:47,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.64775334,127.03373409
삼성쉐르빌 오피스텔 주차장,도봉구 창동 659-29,BS,163,3000,60,1500,30,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-900-7048,미연계,37.647823,127.034705
쌍문주차장(민영),도봉구 쌍문동 103-1,NP,36,1500,30,1500,30,,0,,0800 ~ 2359,0800 ~ 2359,0800 ~ 2359,010-9084-8995,미연계,37.646503,127.03307
원형빌딩 주차장,도봉구 쌍문동 96-4,BS,31,1000,30,500,10,7000,0,,0800 ~ 1900,0800 ~ 1500,0000 ~ 0000,010-6201-7321,미연계,37.647109,127.0334
창1동 1공영주차장(구),도봉구 창동 657-37,NW,42,100,5,100,5,0,0,,0900 ~ 1800,0900 ~ 1800,0900 ~ 1800,02-2091-4215,미연계,37.647127,127.037191
하나제2빌딩 주차장,도봉구 쌍문동 88-105 ,BS,10,1000,20,3000,60,15000,0,,0900 ~ 1800,0900 ~ 1300,0000 ~ 0000,02-996-6264,미연계,37.649139,127.034637
홍일빌딩 주차장,도봉구 창동 655-20 ,BS,28,1500,30,500,10,0,0,,0900 ~ 1800,0000 ~ 0000,0000 ~ 0000,02-997-0066,미연계,37.647328,127.034417
쌍문3동주민센터,도봉구 쌍문동 327-0 ,BP,11,0,0,0,0,0,0,,1800 ~ 0800,0000 ~ 2400,0000 ~ 2400,02-2091-5554,미연계,37.648946,127.027983
한일병원,도봉구 쌍문동 388-1 ,BP,365,1000,30,500,10,,0,,0000 ~ 0000,0000 ~ 0000,0830 ~ 2400,02-901-3227,미연계,37.645882,127.02852
수유2동 공영주차장(구),강북구 수유동 660-30,NW,62,150,5,150,5,10000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-900-7443,미연계,37.646021,127.021916
청록운수 차고지(민영),도봉구 쌍문동 360-31,NP,10,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6495601,127.0234901
노해로-2,노해로 123 ~ 노해로 105,T,28,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.64610382,127.02460301
쌍문동 434-8 자투리 주차장(민영),도봉구 쌍문동 434-8,NP,10,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.649828,127.018459
한천로-5,한천로 1161 ~ 한천로 1107,T,77,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6461238,127.0180425
한천로-6,한천로 1108-1 ~ 한천로 1160,T,71,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6456881,127.0190789
우이동 주민센터(수유4동),강북구 수유동 568-100 ,BS,5,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.647922,127.011941
삼양로-3,삼양로 495 ~ 삼양로 451,T,62,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.64731326,127.01459393
삼양로-4,삼양로 452 ~ 삼양로 494,T,57,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.64592835,127.01544361
서울시립과학관 부설주차장,노원구 하계동 21-0 ,BP,114,150,5,150,5,14400,42,2024-10-02 15:58:58,0900 ~ 1800,0900 ~ 1800,0900 ~ 1800,02-534-3837,20분,37.641981,127.077432
2001아울렛 중계점,노원구 중계동 509-0 ,BS,263,0,30,1000,10,,196,2024-10-02 15:58:48,1000 ~ 2200,1000 ~ 2200,1000 ~ 2200,02-948-2001,20분,37.64129794,127.06801938
마들스타디움(근린공원)(구),노원구 상계동 770-2,NW,249,150,5,150,5,11000,0,,0900 ~ 1900,0900 ~ 1800,0000 ~ 0000,02-2289-6735,미연계,37.643878,127.058614
도봉 문화정보도서관,,DI,1,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.64459,127.04404
