주차장 이름,주변 주차장
LG전자베스트샵 용두점,"홈플러스 동대문점: 109, 동의보감타워: 278, 마장축산물시장(건물) 공영주차장(구): 446, 공유) 04-03(구): 469, 동대문베네스트어반라이프: 517, 마장축산물시장 서문(건물) 공영주차장(구): 548, 공유) 04-04(구): 566, 공유) 04-02(구): 647, 마장동(건물) 공영주차장(구): 680, 공유) 04-16(구): 700"
홈플러스 동대문점,"LG전자베스트샵 용두점: 109, 마장축산물시장(건물) 공영주차장(구): 338, 공유) 04-03(구): 381, 동의보감타워: 386, 마장축산물시장 서문(건물) 공영주차장(구): 441, 공유) 04-04(구): 489, 공유) 04-02(구): 573, 동대문베네스트어반라이프: 593, 마장동(건물) 공영주차장(구): 593, 공유) 04-16(구): 604, 공유) 04-23(구): 605, 공유) 04-01(구): 763"
동대문베네스트어반라이프,"두산베어스타워: 130, 동의보감타워: 363, LG전자베스트샵 용두점: 517, 홈플러스 동대문점: 593"
동의보감타워,"LG전자베스트샵 용두점: 278, 동대문베네스트어반라이프: 363, 홈플러스 동대문점: 386, 두산베어스타워: 474"
홍익대학교 대학로캠퍼스,"종로플레이스 주차장: 482, 하나손해보험빌딩 주차장: 561, 동순라길(종묘) 관광버스전용 주차장(시): 569"
중곡3동공영주차장(구),"실로암사우나 중곡점 주차장: 121, 보건복지행정타운: 587"
장안1동 공영주차장(시),"한강훼미리아파트: 138, 서희스타힐스아파트: 298"
공유) 04-16(구),"공유) 04-16(구): 27, 공유) 04-17(구): 149, 공유) 04-15(구): 201, 공유) 04-18(구): 241, 공유) 04-55(구): 310, 공유) 04-50(구): 325, 마장축산물시장(건물) 공영주차장(구): 344, 공유) 04-14(구): 388, 공유) 20-21(구): 402, 공유) 04-12(구): 407, 공유) 04-19(구): 435, 마장축산물시장 서문(건물) 공영주차장(구): 448, 홈플러스 동대문점: 630, 공유) 04-49(구): 641, 공유) 05-09(구): 653, LG전자베스트샵 용두점: 725"
공유) 04-17(구),"공유) 04-18(구): 130, 공유) 04-15(구): 144, 공유) 04-16(구): 177, 공유) 04-50(구): 190, 공유) 04-55(구): 245, 공유) 20-21(구): 261, 공유) 04-19(구): 353, 공유) 04-14(구): 355, 마장축산물시장(건물) 공영주차장(구): 493, 공유) 05-09(구): 522, 공유) 04-49(구): 650, 공유) 20-23(구): 689"
마장축산물시장 서문(건물) 공영주차장(구),"마장축산물시장(건물) 공영주차장(구): 183, 공유) 04-12(구): 189, 공유) 04-03(구): 205, 공유) 04-23(구): 234, 마장동(건물) 공영주차장(구): 287, 공유) 04-04(구): 298, 공유) 04-02(구): 356, 공유) 04-16(구): 423, 홈플러스 동대문점: 441, 공유) 04-24(구): 468, 공유) 04-01(구): 499, 공유) 04-15(구): 542, LG전자베스트샵 용두점: 548, 공유) 03-15(구): 556, 공유) 06-22(구): 569, 공유) 04-14(구): 577, 공유) 04-55(구): 597, 공유) 04-49(구): 617, 공유) 04-19(구): 656, 공유) 03-06(구): 657, 공유) 03-07(구): 757"
마장축산물시장(건물) 공영주차장(구),"마장축산물시장 서문(건물) 공영주차장(구): 183, 공유) 04-12(구): 305, 공유) 04-03(구): 308, 공유) 04-16(구): 316, 홈플러스 동대문점: 338, 공유) 04-23(구): 415, 공유) 04-04(구): 432, LG전자베스트샵 용두점: 446, 마장동(건물) 공영주차장(구): 457, 공유) 04-17(구): 493, 공유) 04-15(구): 496, 공유) 04-18(구): 561, 공유) 04-55(구): 579, 공유) 04-14(구): 597, 공유) 04-24(구): 651, 공유) 04-19(구): 698"
공유) 04-01(구),"공유) 03-01(구): 174, 공유) 04-02(구): 190, 마장동(건물) 공영주차장(구): 224, 공유) 03-10(구): 247, 공유) 04-04(구): 275, 공유) 04-24(구): 276, 공유) 04-23(구): 299, 공유) 03-15(구): 328, 공유) 04-03(구): 399, 청계8가(북) 공영주차장(시): 402, 공유) 03-14(구): 406, 공유) 03-06(구): 448, 도선동(지하) 공영주차장(구): 456, 청계8가(남) 공영주차장(시): 493, 공유) 03-07(구): 506, 공유) 04-12(구): 530, 공유) 03-20(구): 616, 공유) 06-22(구): 628"
공유) 04-02(구),"공유) 04-01(구): 43, 공유) 04-02(구): 147, 마장동(건물) 공영주차장(구): 186, 공유) 03-01(구): 209, 공유) 04-04(구): 232, 공유) 04-23(구): 265, 공유) 04-24(구): 277, 공유) 03-10(구): 287, 공유) 03-15(구): 340, 공유) 04-03(구): 356, 청계8가(북) 공영주차장(시): 432, 공유) 03-14(구): 441, 마장축산물시장 서문(건물) 공영주차장(구): 471, 공유) 03-06(구): 482, 청계8가(남) 공영주차장(시): 486, 도선동(지하) 공영주차장(구): 487, 공유) 04-12(구): 517, 공유) 03-07(구): 528, 공유) 06-22(구): 623, 공유) 03-20(구): 624, 공유) 04-49(구): 717"
청계8가(남) 공영주차장(시),"공유) 04-01(구): 42, 공유) 03-01(구): 180, 공유) 04-02(구): 217, 공유) 03-10(구): 239, 마장동(건물) 공영주차장(구): 263, 공유) 04-04(구): 301, 공유) 04-24(구): 310, 공유) 04-23(구): 340, 공유) 03-15(구): 356, 청계8가(북) 공영주차장(시): 360, 공유) 03-14(구): 406, 공유) 04-03(구): 428, 공유) 03-06(구): 452, 도선동(지하) 공영주차장(구): 462, 청계8가(남) 공영주차장(시): 475, 공유) 03-07(구): 523, 공유) 03-20(구): 644, 공유) 06-22(구): 665"
공유) 04-04(구),"공유) 04-04(구): 24, 공유) 04-02(구): 60, 마장동(건물) 공영주차장(구): 127, 공유) 04-03(구): 153, 공유) 04-23(구): 208, 공유) 04-01(구): 251, 마장축산물시장 서문(건물) 공영주차장(구): 316, 공유) 04-24(구): 386, 공유) 03-01(구): 407, 공유) 04-12(구): 444, 마장축산물시장(건물) 공영주차장(구): 454, 공유) 03-15(구): 473, 청계8가(북) 공영주차장(시): 485, 공유) 03-10(구): 493, 청계8가(남) 공영주차장(시): 505, 홈플러스 동대문점: 513, LG전자베스트샵 용두점: 588, 공유) 03-14(구): 634, 도선동(지하) 공영주차장(구): 669, 공유) 03-06(구): 670"
공유) 04-03(구),"공유) 04-04(구): 129, 마장축산물시장 서문(건물) 공영주차장(구): 205, 공유) 04-02(구): 211, 마장동(건물) 공영주차장(구): 212, 공유) 04-23(구): 237, 마장축산물시장(건물) 공영주차장(구): 308, 공유) 04-12(구): 376, 홈플러스 동대문점: 381, 공유) 04-01(구): 399, 청계8가(남) 공영주차장(시): 428, LG전자베스트샵 용두점: 469, 공유) 04-24(구): 473, 공유) 03-01(구): 543, 공유) 03-15(구): 565, 공유) 03-10(구): 633, 공유) 03-14(구): 761"
공유) 04-23(구),"마장동(건물) 공영주차장(구): 94, 공유) 04-02(구): 206, 공유) 04-04(구): 209, 마장축산물시장 서문(건물) 공영주차장(구): 234, 공유) 04-03(구): 237, 공유) 04-24(구): 247, 공유) 04-12(구): 273, 공유) 04-01(구): 299, 공유) 03-15(구): 339, 청계8가(남) 공영주차장(시): 340, 공유) 03-01(구): 377, 마장축산물시장(건물) 공영주차장(구): 415, 공유) 06-22(구): 465, 공유) 03-10(구): 472, 공유) 03-20(구): 547, 공유) 03-07(구): 550, 공유) 03-14(구): 564, 도선동(지하) 공영주차장(구): 575, 공유) 03-06(구): 587, 공유) 04-49(구): 592, 홈플러스 동대문점: 605"
마장동(건물) 공영주차장(구),"공유) 04-23(구): 94, 공유) 04-02(구): 113, 공유) 04-04(구): 137, 공유) 04-03(구): 212, 공유) 04-01(구): 224, 청계8가(남) 공영주차장(시): 263, 공유) 04-24(구): 267, 마장축산물시장 서문(건물) 공영주차장(구): 287, 공유) 03-01(구): 338, 공유) 03-15(구): 358, 공유) 04-12(구): 362, 공유) 03-10(구): 432, 마장축산물시장(건물) 공영주차장(구): 457, 청계8가(북) 공영주차장(시): 486, 공유) 06-22(구): 541, 공유) 03-14(구): 549, 공유) 03-07(구): 570, 도선동(지하) 공영주차장(구): 573, 공유) 03-06(구): 579, 홈플러스 동대문점: 593, 공유) 03-20(구): 600, LG전자베스트샵 용두점: 680, 공유) 04-49(구): 682"
청계8가(북) 공영주차장(시),"청계8가(남) 공영주차장(시): 393, 공유) 04-01(구): 402, 공유) 03-10(구): 409, 신설동 공영주차장(시): 409, 청계8가(북) 공영주차장(시): 424, 공유) 03-01(구): 441, 공유) 04-02(구): 489, 청계7가 공영주차장(시): 512, 공유) 03-14(구): 561, 공유) 03-06(구): 611, 도선동(지하) 공영주차장(구): 640, 공유) 03-15(구): 646"
신설동 공영주차장(시),"청계8가(북) 공영주차장(시): 81, 청계8가(남) 공영주차장(시): 141, 청계7가 공영주차장(시): 180"
청계7가 공영주차장(시),"청계8가(북) 공영주차장(시): 131, 청계8가(남) 공영주차장(시): 171, 신설동 공영주차장(시): 180, 청계8가 공영주차장(시): 493, 황학어린이공원 지하주차장(구): 630, 청계천두산위브더제니스상: 749"
청계8가 공영주차장(시),"청계6(북) 공영주차장(시): 189, 청계6(청평화) 공영주차장(시): 194, 경찰공제회 신당동 무궁화회관: 275, 황학어린이공원 지하주차장(구): 284, 청계천두산위브더제니스상: 357, 청계6(동평화) 공영주차장(시): 372, 청계7가 공영주차장(시): 493, 신당사거리 공영주차장(구): 546, 로얄주차장(민영): 557, 동대문 공영주차장(시): 563, 신당역 공영주차장(구): 597, DDP동측(양쪽) 관광버스전용 주차장(시): 623"
청계6(동평화) 공영주차장(시),"남평화시장(구): 146, 청계6(신평화시장앞) 공영주차장(시): 174, 경찰공제회 신당동 무궁화회관: 178, 청계6(청평화) 공영주차장(시): 180, 청계6(북) 공영주차장(시): 185, DDP북측 마장로 관광버스전용 주차장(시): 272, 동대문 공영주차장(시): 290, 청계5가 공영주차장(시): 362, DDP동측(양쪽) 관광버스전용 주차장(시): 365, 청계8가 공영주차장(시): 372, 동대문두산타워 주차장: 396, 청계7가 공영주차장(시): 444, 청계천두산위브더제니스상: 462, 현대백화점 현대시티아울렛 동대문점: 488, 황학어린이공원 지하주차장(구): 493, 서울디자인재단 본관 주차장: 573, 신당사거리 공영주차장(구): 601"
청계6(북) 공영주차장(시),"청계6(동평화) 공영주차장(시): 65, 청계6(북) 공영주차장(시): 132, 청계6(청평화) 공영주차장(시): 140, 경찰공제회 신당동 무궁화회관: 179, 남평화시장(구): 209, 청계6(신평화시장앞) 공영주차장(시): 226, 청계8가 공영주차장(시): 322, DDP북측 마장로 관광버스전용 주차장(시): 336, 동대문 공영주차장(시): 349, 청계5가 공영주차장(시): 412, DDP동측(양쪽) 관광버스전용 주차장(시): 423, 동대문두산타워 주차장: 453, 청계천두산위브더제니스상: 462, 황학어린이공원 지하주차장(구): 475, 청계7가 공영주차장(시): 514, 서울디자인재단 본관 주차장: 584, 신당사거리 공영주차장(구): 615"
청계6(청평화) 공영주차장(시),"청계6(북) 공영주차장(시): 44, 경찰공제회 신당동 무궁화회관: 115, 청계6(동평화) 공영주차장(시): 180, 청계8가 공영주차장(시): 194, 남평화시장(구): 320, 황학어린이공원 지하주차장(구): 344, 청계천두산위브더제니스상: 350, 청계6(신평화시장앞) 공영주차장(시): 355, 동대문 공영주차장(시): 388, DDP북측 마장로 관광버스전용 주차장(시): 439, DDP동측(양쪽) 관광버스전용 주차장(시): 455, 신당사거리 공영주차장(구): 522, 청계7가 공영주차장(시): 545, 신당역 공영주차장(구): 675"
남평화시장(구),"청계6(신평화시장앞) 공영주차장(시): 72, DDP북측 마장로 관광버스전용 주차장(시): 127, 청계6(동평화) 공영주차장(시): 146, 동대문 공영주차장(시): 220, 청계5가 공영주차장(시): 237, 동대문두산타워 주차장: 254, 경찰공제회 신당동 무궁화회관: 280, DDP동측(양쪽) 관광버스전용 주차장(시): 289, 청계6(청평화) 공영주차장(시): 320, 청계6(북) 공영주차장(시): 331, 현대백화점 현대시티아울렛 동대문점: 346, 청계5(남) 공영주차장(시): 369, 청계5(북1) 공영주차장(시): 371, 청계5(방산동) 공영주차장(시): 487, 청계8가 공영주차장(시): 497, 청계7가 공영주차장(시): 505, 서울디자인재단 본관 주차장: 526, 청계천두산위브더제니스상: 539, 신당사거리 공영주차장(구): 643"
청계6(신평화시장앞) 공영주차장(시),"남평화시장(구): 72, DDP북측 마장로 관광버스전용 주차장(시): 148, 청계6(동평화) 공영주차장(시): 174, 청계5가 공영주차장(시): 188, 동대문두산타워 주차장: 228, 동대문 공영주차장(시): 287, 청계5(북1) 공영주차장(시): 320, 현대백화점 현대시티아울렛 동대문점: 320, 청계5(남) 공영주차장(시): 324, 경찰공제회 신당동 무궁화회관: 334, DDP동측(양쪽) 관광버스전용 주차장(시): 353, 청계6(청평화) 공영주차장(시): 355, 청계6(북) 공영주차장(시): 357, 서울디자인재단 본관 주차장: 453, 청계5(방산동) 공영주차장(시): 455, 청계7가 공영주차장(시): 482, 청계8가 공영주차장(시): 485"
서울디자인재단 본관 주차장,"청계5(북1) 공영주차장(시): 337, 청계5가 공영주차장(시): 374, 청계5(남) 공영주차장(시): 379, 청계5(방산동) 공영주차장(시): 422, 청계6(신평화시장앞) 공영주차장(시): 453, 동대문두산타워 주차장: 455, 현대백화점 현대시티아울렛 동대문점: 478, 남평화시장(구): 526, DDP북측 마장로 관광버스전용 주차장(시): 542, 청계6(동평화) 공영주차장(시): 573, 청계6(북) 공영주차장(시): 584, 훈련원공원 옆(구): 627, 훈련원공원 공영주차장(시): 734"
청계5(남) 공영주차장(시),"청계5(북1) 공영주차장(시): 42, 현대백화점 현대시티아울렛 동대문점: 104, 청계5(방산동) 공영주차장(시): 130, 동대문두산타워 주차장: 136, 청계5가 공영주차장(시): 136, 훈련원공원 옆(구): 286, DDP북측 마장로 관광버스전용 주차장(시): 292, 청계6(신평화시장앞) 공영주차장(시): 324, 남평화시장(구): 369, 서울디자인재단 본관 주차장: 379, 훈련원공원 공영주차장(시): 422, 청계6(북) 공영주차장(시): 429, 청계5(동호로_남) 공영주차장(시): 467, 청계5(동호로_북) 공영주차장(시): 481, 청계6(동평화) 공영주차장(시): 481, 동대문 공영주차장(시): 488, 청계3(동호로) 공영주차장(시): 490, DDP동측(양쪽) 관광버스전용 주차장(시): 517"
청계5(북1) 공영주차장(시),"청계5(남) 공영주차장(시): 42, 청계5가 공영주차장(시): 134, 청계5(방산동) 공영주차장(시): 143, 현대백화점 현대시티아울렛 동대문점: 144, 동대문두산타워 주차장: 159, DDP북측 마장로 관광버스전용 주차장(시): 308, 훈련원공원 옆(구): 319, 청계6(신평화시장앞) 공영주차장(시): 320, 서울디자인재단 본관 주차장: 337, 남평화시장(구): 371, 청계6(북) 공영주차장(시): 420, 훈련원공원 공영주차장(시): 451, 청계6(동평화) 공영주차장(시): 477, 청계5(동호로_남) 공영주차장(시): 478, 청계5(동호로_북) 공영주차장(시): 481, 동대문 공영주차장(시): 508, 청계3(동호로) 공영주차장(시): 519, DDP동측(양쪽) 관광버스전용 주차장(시): 541"
청계5가 공영주차장(시),"청계5(남) 공영주차장(시): 39, 청계5(북1) 공영주차장(시): 51, 청계5가 공영주차장(시): 96, 현대백화점 현대시티아울렛 동대문점: 105, 동대문두산타워 주차장: 108, 청계5(방산동) 공영주차장(시): 170, DDP북측 마장로 관광버스전용 주차장(시): 258, 청계6(신평화시장앞) 공영주차장(시): 284, 훈련원공원 옆(구): 318, 남평화시장(구): 330, 서울디자인재단 본관 주차장: 372, 청계6(북) 공영주차장(시): 389, 동대문 공영주차장(시): 457, 훈련원공원 공영주차장(시): 457, 청계6(동평화) 공영주차장(시): 459, DDP동측(양쪽) 관광버스전용 주차장(시): 489"
청계5(방산동) 공영주차장(시),"청계5(남) 공영주차장(시): 130, 청계5(북1) 공영주차장(시): 143, 현대백화점 현대시티아울렛 동대문점: 182, 훈련원공원 옆(구): 204, 동대문두산타워 주차장: 254, 청계5가 공영주차장(시): 267, 훈련원공원 공영주차장(시): 319, 청계5(동호로_남) 공영주차장(시): 337, 청계5(동호로_북) 공영주차장(시): 354, 청계3(동호로) 공영주차장(시): 359, 우리은행ATM 종로5가지점: 388, DDP북측 마장로 관광버스전용 주차장(시): 412, 청계3(남) 공영주차장(시): 417, 서울디자인재단 본관 주차장: 422, 청계6(북) 공영주차장(시): 428, 청계3(북1) 공영주차장(시): 431, 청계6(신평화시장앞) 공영주차장(시): 455, 남평화시장(구): 491, DDP동측(양쪽) 관광버스전용 주차장(시): 599, 마른내로 공영주차장(시): 673, 남산센트럴시티투웨니퍼스트오피스텔: 690"
우리은행ATM 종로5가지점,"청계5(동호로_북) 공영주차장(시): 49, 청계3(북1) 공영주차장(시): 62, 청계3(남) 공영주차장(시): 82, 청계3(동호로) 공영주차장(시): 93, 청계5(동호로_남) 공영주차장(시): 111, 훈련원공원 공영주차장(시): 335, 청계3(창경궁로_남) 공영주차장(시): 375, 청계2(북2) 공영주차장(시): 384, 청계3(창경궁로_북1) 공영주차장(시): 384, 청계5(방산동) 공영주차장(시): 388, 훈련원공원 옆(구): 388, 종로플레이스 주차장: 422, 청계5(북1) 공영주차장(시): 487, 하나손해보험빌딩 주차장: 500, 동순라길(종묘) 관광버스전용 주차장(시): 543, 배오개길 공영주차장(시): 567, 을지트윈타워 주차장: 575, 남산센트럴시티투웨니퍼스트오피스텔: 592, 마른내로 공영주차장(시): 600"
청계3(북1) 공영주차장(시),"청계3(남) 공영주차장(시): 38, 우리은행ATM 종로5가지점: 62, 청계3(동호로) 공영주차장(시): 88, 청계5(동호로_북) 공영주차장(시): 111, 청계5(동호로_남) 공영주차장(시): 113, 청계3(창경궁로_남) 공영주차장(시): 315, 청계2(북2) 공영주차장(시): 327, 훈련원공원 공영주차장(시): 329, 청계3(창경궁로_북1) 공영주차장(시): 345, 훈련원공원 옆(구): 404, 종로플레이스 주차장: 425, 청계5(방산동) 공영주차장(시): 431, 청계5(북1) 공영주차장(시): 470, 하나손해보험빌딩 주차장: 490, 세운대림상가(동측)(구): 505, 배오개길 공영주차장(시): 509, 을지트윈타워 주차장: 514, 동순라길(종묘) 관광버스전용 주차장(시): 533, 남산센트럴시티투웨니퍼스트오피스텔: 549, 마른내로 공영주차장(시): 560, 공유) 삼풍상가3구간(02~12)(구): 612, 삼풍넥서스빌딩: 627, 마른내길 공영주차장(시): 655"
청계5(동호로_북) 공영주차장(시),"우리은행ATM 종로5가지점: 49, 청계3(북1) 공영주차장(시): 111, 청계3(동호로) 공영주차장(시): 119, 청계3(남) 공영주차장(시): 127, 청계5(동호로_남) 공영주차장(시): 129, 훈련원공원 공영주차장(시): 343, 청계5(방산동) 공영주차장(시): 354, 훈련원공원 옆(구): 378, 청계3(창경궁로_북1) 공영주차장(시): 422, 청계3(창경궁로_남) 공영주차장(시): 424, 종로플레이스 주차장: 430, 청계2(북2) 공영주차장(시): 431, 청계5(남) 공영주차장(시): 481, 청계5(북1) 공영주차장(시): 481, 청계5가 공영주차장(시): 492, 하나손해보험빌딩 주차장: 516, 동순라길(종묘) 관광버스전용 주차장(시): 560, 배오개길 공영주차장(시): 613, 을지트윈타워 주차장: 623"
청계3(남) 공영주차장(시),"청계3(북1) 공영주차장(시): 38, 청계3(동호로) 공영주차장(시): 60, 우리은행ATM 종로5가지점: 82, 청계5(동호로_남) 공영주차장(시): 86, 청계5(동호로_북) 공영주차장(시): 127, 훈련원공원 공영주차장(시): 292, 청계3(창경궁로_남) 공영주차장(시): 313, 청계2(북2) 공영주차장(시): 334, 청계3(창경궁로_북1) 공영주차장(시): 369, 훈련원공원 옆(구): 375, 청계5(방산동) 공영주차장(시): 417, 청계5(북1) 공영주차장(시): 459, 종로플레이스 주차장: 463, 배오개길 공영주차장(시): 485, 을지트윈타워 주차장: 497, 남산센트럴시티투웨니퍼스트오피스텔: 514, 마른내로 공영주차장(시): 524, 하나손해보험빌딩 주차장: 526, 세운대림상가(동측)(구): 536, 동순라길(종묘) 관광버스전용 주차장(시): 568, 공유) 삼풍상가3구간(02~12)(구): 601, 마른내길 공영주차장(시): 630"
동순라길(종묘) 관광버스전용 주차장(시),"하나손해보험빌딩 주차장: 43, 종로플레이스 주차장: 152, 종묘주차장 공영주차장(시): 231, 청계3(창경궁로_북1) 공영주차장(시): 288, 청계2(북2) 공영주차장(시): 454, 청계2(북1) 공영주차장(시): 514, 청계3(창경궁로_남) 공영주차장(시): 525, 세운대림상가(동측)(구): 529, 청계3(북1) 공영주차장(시): 533, 우리은행ATM 종로5가지점: 543, 세운대림상가(서측)(구): 548, 청계5(동호로_북) 공영주차장(시): 560, 청계3(남) 공영주차장(시): 568, 홍익대학교 대학로캠퍼스: 569, 청계3(동호로) 공영주차장(시): 621, 청계5(동호로_남) 공영주차장(시): 645"
하나손해보험빌딩 주차장,"동순라길(종묘) 관광버스전용 주차장(시): 43, 종로플레이스 주차장: 116, 종묘주차장 공영주차장(시): 241, 청계3(창경궁로_북1) 공영주차장(시): 259, 청계2(북2) 공영주차장(시): 426, 청계3(북1) 공영주차장(시): 490, 청계3(창경궁로_남) 공영주차장(시): 495, 우리은행ATM 종로5가지점: 500, 청계2(북1) 공영주차장(시): 505, 세운대림상가(동측)(구): 513, 청계5(동호로_북) 공영주차장(시): 516, 청계3(남) 공영주차장(시): 526, 세운대림상가(서측)(구): 535, 홍익대학교 대학로캠퍼스: 561, 청계3(동호로) 공영주차장(시): 578, 청계5(동호로_남) 공영주차장(시): 602"
