주차장 이름,주소,주차 타입,주차 가능 차량 수,요금,요금 시간 기준,추가 요금,추가 요금 시간 기준,일일 최대 요금,현재 주차 차량 수,현재 주차 갱신 시간,평일 운영 시간,주말 운영 시간,공휴일 운영 시간,전화번호,연계 상태,위도,경도
베누스타 주차장,성북구 길음동 22-1 ,BS,50,2000,30,500,10,0,50,2024-10-02 14:24:36,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.60933538,127.02949836
성북힐스테이트 주차장,성북구 하월곡동 88-64 ,BS,70,0,10,500,10,25000,70,2024-10-02 14:24:43,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.606535,127.030397
성북힐스테이트아파트,성북구 하월곡동 88-957,BS,75,0,10,500,10,25000,75,2024-10-02 14:24:43,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.606548,127.029027
현대백화점 미아점 주차장,성북구 길음동 20-1 ,BS,600,0,30,500,10,,185,2024-10-02 14:25:20,0800 ~ 2200,0000 ~ 0000,0000 ~ 0000,02-2117-3155,20분,37.60838767,127.02877104
JR메디컬센터타워 주차장,성북구 정릉동 408-3 ,BS,32,2000,30,1000,10,30000,32,2024-10-02 14:24:36,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-942-6780,20분,37.60736694,127.01009949
서울기록원 부설주차장,은평구 녹번동 7-1 ,BP,86,250,5,250,5,24000,22,2024-10-02 14:24:29,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-1522-0741,20분,37.607239,126.934435
대명프라자,중랑구 신내동 502-5,BS,40,1500,30,1500,30,30000,40,2024-10-02 14:24:42,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,010-8705-5638,20분,37.601777,127.096903
홈플러스 월곡점,성북구 하월곡동 46-73 ,BS,658,1000,10,1000,10,30000,429,2024-10-02 14:25:34,1000 ~ 2400,1000 ~ 2400,1000 ~ 2400,02-3669-8000,20분,37.601636,127.040355
LG전자베스트샵 은평점,은평구 응암동 86-25,BS,9,2000,30,1000,15,40000,9,2024-10-02 14:24:46,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02--,20분,37.601228,126.924603
이마트 은평점[은평이마트점],은평구 응암동 89-21 ,BS,598,1000,10,1000,10,,253,2024-10-02 14:25:37,1000 ~ 2300,1000 ~ 2300,1000 ~ 2300,,20분,37.60079507,126.92066234
진흥로 공영주차장(시),은평구 역촌동 41-8,NS,14,200,5,200,5,,9,2024-10-02 14:25:34,0900 ~ 1800,0000 ~ 0000,0000 ~ 0000,010-9381-8004,20분,37.60431077,126.92167204
러스크서울병원[망우동 4호점],중랑구 망우동 207-2 ,BS,89,2000,30,2000,30,30000,35,2024-10-02 14:25:43,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-1588-5783,20분,37.600071,127.104311
다이소 망우2호점,중랑구 망우동 470-14,BS,13,1500,30,1500,30,15000,13,2024-10-02 14:24:35,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.599122,127.098381
이마트 상봉점,중랑구 망우동 506-1 ,BS,579,1000,10,1000,10,20000,2,2024-10-02 14:25:41,1000 ~ 2300,1000 ~ 2300,1000 ~ 2300,,20분,37.59643854,127.09351851
휘경메디컬프라자,동대문구 휘경동 71-1,BS,109,2000,30,1000,15,40000,109,2024-10-02 14:24:44,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.59178,127.066602
공유) 성북구 도담도담 주차장(구),성북구 성북동 232-13,NW,7,1200,60,600,30,,2,2024-10-02 14:21:04,0000 ~ 2359,0000 ~ 2359,0000 ~ 2359,02-1661-5806,20분,37.594584,126.993775
JS빌딩 주차장,동대문구 휘경동 42-23 ,BS,24,1500,30,500,10,20000,24,2024-10-02 14:25:56,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.59098817,127.06438783
돈암동일하이빌 주차장,성북구 동소문동5가 120-0 ,BS,123,2000,30,2000,30,0,123,2024-10-02 14:25:53,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.59164441,127.01442238
녹색병원 주차장,중랑구 면목동 568-1,BS,80,1500,30,500,10,0,82,2024-10-02 14:24:00,0000 ~ 2400,0000 ~ 0000,0000 ~ 0000,02-1522-0741,20분,37.583909,127.086374
상암오밸리스크1차,마포구 상암동 1734-0,BS,465,1500,30,1500,30,20000,465,2024-10-02 14:26:04,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.587104,126.883357
강서1주차장[개화나들목 앞],강서구 방화동 18-1 ,BP,53,1000,30,200,10,10000,18,2024-10-02 14:26:03,0900 ~ 2100,0900 ~ 2100,0900 ~ 2100,,20분,37.58522128,126.81982059
제이앤지산 주차장,동대문구 장안동 94-27 ,BS,114,900,30,300,10,10000,95,2024-10-02 14:25:58,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.58151728,127.07070593
롯데백화점 청량리점 주차장,동대문구 전농동 588-1 ,BS,1531,1000,30,1000,10,0,552,2024-10-02 14:20:00,0000 ~ 2359,0000 ~ 2359,0000 ~ 2359,02-3707-2350,20분,37.581328,127.049055
두산베어스타워,동대문구 용두동 138-41,BS,110,2000,30,2000,30,30000,110,2024-10-02 14:26:04,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.578574,127.03242
국립현대미술관 서울관,종로구 소격동 165-0 ,BP,384,3000,60,500,10,20000,259,2024-10-02 14:26:48,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,02-3701-9841~4,20분,37.57951713,126.98059114
SBS프리즘 타워주차장,마포구 상암동 1607-1 ,BS,196,0,30,500,10,0,164,2024-10-02 14:25:26,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.57970504,126.89280744
디디엠씨(DDMC) 주차장,마포구 상암동 1610-0 ,BS,715,0,0,500,10,22000,601,2024-10-02 14:26:39,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.57840939,126.89298914
엠비씨 씨앤아이 파크엠(MBC C&I PARK M),마포구 상암동 1615-0 ,BS,631,1500,10,500,10,30000,396,2024-10-02 14:25:52,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.57858093,126.89427368
(주)우리기술 사옥,마포구 상암동 1593-0 ,BS,159,500,10,500,10,,131,2024-10-02 14:26:11,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.58139385,126.887447
상암 더팬빌딩 주차장[마포 상암점],마포구 상암동 1592-0 ,BS,120,500,10,500,10,0,114,2024-10-02 14:26:48,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.58162041,126.88706131
장안2동 공영주차장(시),동대문구 장안동 286-9,NW,80,130,5,130,5,9300,63,2024-10-02 14:26:52,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2290-6417,20분,37.5782752,127.07061896
LG전자베스트샵 용두점,동대문구 용두동 29-6,BS,27,3000,10,3000,10,80000,27,2024-10-02 14:26:08,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.575415,127.0386
홈플러스 동대문점,동대문구 용두동 33-1,BS,669,1000,10,1000,10,30000,356,2024-10-02 14:26:59,1000 ~ 2400,1000 ~ 2400,1000 ~ 2400,02-2173-8000,20분,37.574439,127.038774
동대문베네스트어반라이프,동대문구 용두동 100-5 ,BS,131,1000,30,1000,30,30000,131,2024-10-02 14:26:04,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.577858,127.033597
동의보감타워,동대문구 용두동 787-0 ,BS,153,1500,30,1500,30,0,153,2024-10-02 14:26:07,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.577816,127.037717
홍익대학교 대학로캠퍼스,종로구 연건동 128-8 ,BS,418,3000,30,2000,20,40000,418,2024-10-02 14:25:59,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-3275-3942,20분,37.576526,127.001474
경복궁 주차장,종로구 세종로 1-1 ,BS,266,3000,120,800,10,0,208,2024-10-02 14:26:45,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-736-9536,20분,37.576926,126.9791106
케이트윈타워,종로구 중학동 19-0 ,BS,402,3000,30,1000,10,50000,380,2024-10-02 14:27:00,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-1899-7275,20분,37.574719,126.979023
트윈트리타워 주차장,종로구 중학동 14-0 ,BS,266,3000,30,1000,10,,185,2024-10-02 14:20:02,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-1644-8830,20분,37.57542635,126.9801813
적선동 주차장(시),종로구 적선동 140-0,NW,28,8100,120,680,5,0,19,2024-10-02 14:26:51,0900 ~ 1900,0900 ~ 1900,0900 ~ 1900,02-2264-4895,20분,37.57449014,126.97418586
상암1 공영주차장(구),마포구 상암동 1267-1,NW,213,200,5,200,5,,134,2024-10-02 14:27:04,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-300-5046,20분,37.577281,126.897236
방화역(동) 공영주차장(시),강서구 방화동 830-4,NW,67,170,5,170,5,12200,881,2024-10-02 14:26:51,0800 ~ 2100,0800 ~ 2100,0800 ~ 2100,010-9381-8004,20분,37.57730116,126.81331479
방화역(서) 공영주차장(시),강서구 방화동 829-1,NW,69,170,5,170,5,12200,34,2024-10-02 14:26:51,0800 ~ 2100,0800 ~ 2100,0800 ~ 2100,010-9381-8004,20분,37.57757395,126.81217459
개화역 공영주차장(시),강서구 개화동 664-0,NW,483,170,5,170,5,12200,483,2024-10-02 14:26:51,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2290-6312,20분,37.57798421,126.79821222
중곡3동공영주차장(구),광진구 중곡동 195-1,NW,162,150,5,150,5,72000,162,2024-10-02 14:27:10,0000 ~ 2400,0000 ~ 0000,0000 ~ 0000,02-2049-4596,20분,37.56993873,127.08469308
장안1동 공영주차장(시),동대문구 장안동 392-3,NW,71,130,5,130,5,9300,57,2024-10-02 14:26:51,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-3405-4598,20분,37.56941,127.066994
공유) 04-16(구),성동구 마장동 768-2 마장로 39나길,NS,16,900,30,900,30,10000,14,2024-10-02 14:19:14,0830 ~ 1900,0830 ~ 1900,0830 ~ 1900,02-2204-7970,20분,37.56987,127.04394
공유) 04-17(구),성동구 마장동 767-4,NS,17,900,30,900,30,10000,14,2024-10-02 14:19:14,0830 ~ 1900,0830 ~ 1900,0830 ~ 1900,02-2204-7970,20분,37.56939,127.04483
마장축산물시장 서문(건물) 공영주차장(구),성동구 마장동 522-1,NW,129,250,5,250,5,,104,2024-10-02 14:26:44,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2204-7970,20분,37.5704876,127.03832741
마장축산물시장(건물) 공영주차장(구),성동구 마장동 525-1,NW,117,250,5,250,5,,96,2024-10-02 14:20:47,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2204-7970,20분,37.571538,127.039926
공유) 04-01(구),성동구 하왕십리동 258-0,NS,22,900,30,900,30,10000,22,2024-10-02 14:19:12,0830 ~ 1900,0830 ~ 1900,0830 ~ 1900,02-2204-7970,20분,37.5696,127.03263
공유) 04-02(구),성동구 마장동 456-3,NS,25,900,30,900,30,10000,25,2024-10-02 14:19:19,0830 ~ 1900,0830 ~ 1900,0830 ~ 1900,02-2204-7970,20분,37.5707,127.03429
공유) 04-03(구),성동구 마장동 450-65,NS,8,900,30,900,30,10000,7,2024-10-02 14:19:15,0830 ~ 1900,0830 ~ 1900,0830 ~ 1900,02-2204-7970,20분,37.571558107,127.03643021
공유) 04-04(구),성동구 마장동 460-22,NS,9,900,30,900,30,10000,9,2024-10-02 14:19:14,0830 ~ 1900,0830 ~ 1900,0830 ~ 1900,02-2204-7970,20분,37.57117,127.03504624
공유) 04-23(구),성동구 마장동 459-6,NS,15,900,30,900,30,10000,11,2024-10-02 14:19:16,0830 ~ 1900,0830 ~ 1900,0830 ~ 1900,02-2204-7970,20분,37.56944669,127.0360172
마장동(건물) 공영주차장(구),성동구 마장동 463-2,NW,54,50,5,50,5,,47,2024-10-02 14:27:11,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2204-7970,20분,37.56993875,127.03514519
청계8가(남) 공영주차장(시),성동구 상왕십리동 12-47,NS,72,450,5,450,5,0,20,2024-10-02 14:27:03,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,02-2274-2009,20분,37.5703894,127.02698474
청계8가(북) 공영주차장(시),동대문구 신설동 109-2,NS,31,450,5,450,5,0,12,2024-10-02 14:26:52,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,02-2274-2009,20분,37.57063582,127.02824815
신설동 공영주차장(시),동대문구 신설동 114-29,NW,79,260,5,260,5,18700,72,2024-10-02 14:26:51,0900 ~ 1900,0900 ~ 1900,0900 ~ 1900,02-2232-6096,20분,37.57252061,127.02425684
청계7가 공영주차장(시),종로구 창신동 436-87,NS,39,450,5,450,5,0,14,2024-10-02 14:26:53,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,010-8337-4293,20분,37.57217485,127.02225792
청계8가 공영주차장(시),중구 흥인동 162-1 0,NS,19,500,5,500,5,0,10,2024-10-02 14:27:05,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,010-8337-4293,20분,37.57002852,127.01735719
청계6(동평화) 공영주차장(시),중구 신당동 217-91 0,NS,6,450,5,450,5,0,4,2024-10-02 14:27:02,0900 ~ 0100,0900 ~ 1500,0000 ~ 0000,010-6312-2020,20분,37.56958258,127.01316308
청계6(북) 공영주차장(시),종로구 종로6가 289-49,NS,28,450,5,450,5,0,4,2024-10-02 14:26:57,0900 ~ 0100,0900 ~ 1500,0000 ~ 0000,010-8337-4293,20분,37.56999731,127.0152055
청계6(신평화시장앞) 공영주차장(시),중구 신당동 217-91 0,NS,7,450,5,450,5,0,3,2024-10-02 14:26:55,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,010-8337-4293,20분,37.569577,127.011183
청계6(청평화) 공영주차장(시),중구 신당동 217-91 0,NS,5,450,5,450,5,0,4,2024-10-02 14:27:02,0000 ~ 2400,0000 ~ 2400,0000 ~ 0000,02-2252-8036,20분,37.56960075,127.01521402
서울디자인재단 본관 주차장,종로구 종로6가 70-6 ,BP,32,1000,25,1000,10,0,23,2024-10-02 14:27:11,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2096-0153,20분,37.57288249,127.00816125
청계5(남) 공영주차장(시),중구 을지로6가 17-442 0,NS,5,750,5,750,5,0,2,2024-10-02 14:26:56,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,010-8337-4293,20분,37.56951246,127.00750172
청계5(방산동) 공영주차장(시),중구 방산동 52-1,NS,36,750,5,750,5,0,9,2024-10-02 14:26:56,0900 ~ 0100,0900 ~ 1500,0000 ~ 0000,010-8337-4293,20분,37.56948283,127.00601836
청계5(북1) 공영주차장(시),종로구 종로5가 458-2,NS,25,750,5,750,5,0,11,2024-10-02 14:26:56,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,010-8337-4293,20분,37.56988704,127.00756704
청계5가 공영주차장(시),중구 을지로6가 17-442 0,NS,20,750,5,750,5,0,8,2024-10-02 14:27:02,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,02-2265-3531,20분,37.56958981,127.00904766
우리은행ATM 종로5가지점,종로구 종로5가 398-3,BS,13,3000,30,2000,20,30000,13,2024-10-02 14:27:17,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,0,20분,37.570031,127.001665
청계3(남) 공영주차장(시),중구 주교동 51-3,NS,20,750,5,750,5,0,14,2024-10-02 14:26:55,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,010-8337-4293,20분,37.56934864,127.00128399
