주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주자면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금,위도,경도
1367264,적선동 주차장(시),종로구 적선동 140-0,NW,노외 주차장,4,버스전용 주차장,02-2264-4895,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),28,Y,유료,N,야간 미개방,900,1900,900,1900,900,1900,2023-09-26 10:45:08,N,무료,N,무료,0,,8100,120,680,5,8100,120,5,680,0,37.57449014,126.97418586
1372873,도봉산역 공영주차장(시),도봉구 도봉동 288-19,NW,노외 주차장,1,시간제 주차장,02)2290-6047,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),358,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 09:57:09,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.68972069,127.04483862
1366600,학여울 공영주차장(시),강남구 대치동 514-1,NW,노외 주차장,1,시간제 주차장,02-3405-4074,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),180,Y,유료,N,야간 미개방,500,100,500,100,500,100,2024-08-27 14:32:30,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.49705092,127.07239543
173452,사당노외 공영주차장(시),서초구 방배동 507-1,NW,노외 주차장,1,시간제 주차장,02-3405-4078,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),183,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 09:59:59,N,무료,N,무료,182000,,400,5,400,5,0,0,0,0,28800,37.47543791,126.98377372
171730,종묘주차장 공영주차장(시),종로구 훈정동 2-0,NW,노외 주차장,1,시간제 주차장,02-2290-6166,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1317,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:11:10,N,무료,N,무료,175000,,400,5,400,5,0,0,0,0,28800,37.57150398,126.99496888
1404936,천왕역 공영주차장(시),구로구 오류동 174-10,NW,노외 주차장,1,시간제 주차장,02-2290-6343,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),325,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:12:39,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.48728845,126.83918316
1366576,개화역 공영주차장(시),강서구 개화동 664-0,NW,노외 주차장,1,시간제 주차장,02-2290-6312,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),483,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 10:18:07,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.57798421,126.79821222
172844,마포유수지(시),마포구 마포동 36-1,NW,노외 주차장,5,시간제 + 버스전용 주차장,02-2290-6093,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),503,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 09:59:02,N,무료,N,무료,162000,,220,5,220,5,,,,,15800,37.53890027,126.94266859
171721,세종로 공영주차장(시),종로구 세종로 80-1,NW,노외 주차장,1,시간제 주차장,02-2290-6566,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1260,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:00:55,N,무료,N,무료,176000,,430,5,430,5,0,0,0,0,30900,37.57340269,126.97588429
1366590,신대방역 공영주차장(시),관악구 신림동 498-0,NW,노외 주차장,1,시간제 주차장,02-2290-6144,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),60,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:02:05,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.48830327,126.91452278
1384198,동대문 공영주차장(시),중구 신당동 251-7,NW,노외 주차장,1,시간제 주차장,02)2254-4901,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1092,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 09:58:14,N,무료,N,무료,157000,,360,5,360,5,0,0,0,0,25900,37.56710187,127.01214106
173867,천호역 공영주차장(시),강동구 천호동 455-0,NW,노외 주차장,1,시간제 주차장,02-2290-6201,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1431,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-01-02 12:06:56,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.53849749,127.12512853
3210878,용산주차빌딩(시),용산구 한강로2가 12-9,NW,노외 주차장,1,시간제 주차장,02-2290-6014,0,미연계중,561,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-07-17 15:15:36,N,무료,N,무료,168000,,300,5,300,5,0,0,0,0,,37.53439413,126.96510511
173646,신천유수지 공영주차장(시),송파구 신천동 14-0,NW,노외 주차장,1,시간제 주차장,02-414-6417,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),192,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:28:31,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.52231457,127.10290327
1575751,신방화역 공영주차장(시),강서구 마곡동 739-0,NW,노외 주차장,1,시간제 주차장,02-3405-4581,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),199,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:02:33,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.56706812,126.81757628
171900,훈련원공원 공영주차장(시),중구 을지로5가 40-3,NW,노외 주차장,1,시간제 주차장,02-3405-4597,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),873,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:22:00,N,무료,N,무료,176000,,550,5,550,5,0,0,0,0,39600,37.56740014,127.00352062
1576703,가양라이품 공영주차장(시),강서구 가양동 1457-1,NW,노외 주차장,1,시간제 주차장,02-2290-6144,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),38,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:30:09,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.57155732,126.84165292
1913385,남산예장 관광버스전용 주차장(시),중구 예장동 4-1,NW,노외 주차장,4,버스전용 주차장,02-2290-7227,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),39,Y,유료,N,야간 미개방,600,2400,600,2400,600,2400,2023-07-12 11:18:44,N,무료,N,무료,0,,6000,120,500,5,6000,120,5,500,0,37.559821,126.989076
1913393,장안1동 공영주차장(시),동대문구 장안동 392-3,NW,노외 주차장,1,시간제 주차장,02-3405-4598,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),71,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:23:37,N,무료,N,무료,90000,,130,5,130,5,0,0,0,0,9300,37.56941,127.066994
1588341,신월4동 공영주차장(시),양천구 신월동 411-1,NW,노외 주차장,1,시간제 주차장,02-2290-6311,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),46,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:04:28,N,무료,N,무료,80000,,120,5,120,5,0,0,0,0,8600,37.525643,126.837692
1277146,장안2동 공영주차장(시),동대문구 장안동 286-9,NW,노외 주차장,1,시간제 주차장,02-2290-6417,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),80,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:17:46,N,무료,N,무료,70000,,130,5,130,5,0,0,0,0,9300,37.5782752,127.07061896
172935,웃우물 공영주차장(시),양천구 신정동 943-25,NW,노외 주차장,1,시간제 주차장,02-2290-6311,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),79,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 10:41:10,N,무료,N,무료,140000,,220,5,220,5,0,0,0,0,15800,37.52379759,126.85141746
1247675,암사1동 주차장(구),강동구 암사동 59-2,NW,노외 주차장,1,시간제 주차장,02-428-2431,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),114,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-22 14:25:50,N,무료,N,무료,80000,,150,5,150,5,0,0,0,0,,37.55289,127.1377215
1367120,동구로 공영주차장(시),구로구 구로동 94-1,NW,노외 주차장,1,시간제 주차장,02-3405-4086,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),71,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 09:57:42,N,무료,N,무료,140000,,320,5,320,5,0,0,0,0,23000,37.49510602,126.89186155
173840,볕우물 공영주차장(시),강동구 암사동 473-3,NW,노외 주차장,1,시간제 주차장,02-2290-6410,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),97,Y,유료,N,야간 미개방,0,0,0,0,0,0,2023-12-29 10:06:12,Y,유료,Y,유료,90000,,130,5,130,5,0,0,0,0,9300,37.55237413,127.13512275
